"Jahr","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,13,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,14,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,15,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",4,"Natürliche Personen",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",1,"Öffentliche Hand",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",4,"Natürliche Personen",0
2009,16,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",4,"Natürliche Personen",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",1,"Öffentliche Hand",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",4,"Natürliche Personen",9
2009,17,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",4,"Natürliche Personen",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",1,"Öffentliche Hand",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",4,"Natürliche Personen",0
2009,18,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",4,"Natürliche Personen",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",1,"Öffentliche Hand",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",3,"Übrige private Gesellschaften",43
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",4,"Natürliche Personen",0
2009,19,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
