"Jahr","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,5,"01201","Central",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,6,"01202","ETH / Universität",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",4
2009,7,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
